max_length,chunk_long,agg,batch_size,decision_mode,top_p_threshold,ovr_threshold,collapse_neutral,acc_3class_filtered,macro_f1_3class_filtered,kept_fraction,pred_label_distribution
256,1,max,16,one_vs_rest,0.0,0.6,0,0.776595744680851,0.6485489818823152,0.752,"{0: 164, 1: 30, 2: 182, 3: 124}"
256,1,max,32,top_p,0.6,,0,0.776595744680851,0.6485489818823152,0.752,"{0: 164, 1: 30, 2: 182, 3: 124}"
256,1,max,32,one_vs_rest,0.0,0.6,0,0.776595744680851,0.6485489818823152,0.752,"{0: 164, 1: 30, 2: 182, 3: 124}"
384,1,mean,16,top_p,0.7,,0,0.8220858895705522,0.6482114078920741,0.652,"{0: 136, 1: 12, 2: 178, 3: 174}"
384,1,mean,16,one_vs_rest,0.0,0.7,0,0.8220858895705522,0.6482114078920741,0.652,"{0: 136, 1: 12, 2: 178, 3: 174}"
384,1,mean,32,top_p,0.7,,0,0.8220858895705522,0.6482114078920741,0.652,"{0: 136, 1: 12, 2: 178, 3: 174}"
384,1,mean,32,one_vs_rest,0.0,0.7,0,0.8220858895705522,0.6482114078920741,0.652,"{0: 136, 1: 12, 2: 178, 3: 174}"
256,1,mean,16,top_p,0.6,,0,0.7702349869451697,0.647258765261219,0.766,"{0: 166, 1: 34, 2: 183, 3: 117}"
256,1,mean,16,one_vs_rest,0.0,0.6,0,0.7702349869451697,0.647258765261219,0.766,"{0: 166, 1: 34, 2: 183, 3: 117}"
256,1,mean,32,top_p,0.6,,0,0.7702349869451697,0.647258765261219,0.766,"{0: 166, 1: 34, 2: 183, 3: 117}"
256,1,mean,32,one_vs_rest,0.0,0.6,0,0.7702349869451697,0.647258765261219,0.766,"{0: 166, 1: 34, 2: 183, 3: 117}"
384,0,mean,16,top_p,0.7,,0,0.8181818181818182,0.6436592029854724,0.66,"{0: 137, 1: 13, 2: 180, 3: 170}"
384,0,mean,16,one_vs_rest,0.0,0.7,0,0.8181818181818182,0.6436592029854724,0.66,"{0: 137, 1: 13, 2: 180, 3: 170}"
384,0,mean,32,top_p,0.7,,0,0.8181818181818182,0.6436592029854724,0.66,"{0: 137, 1: 13, 2: 180, 3: 170}"
384,0,mean,32,one_vs_rest,0.0,0.7,0,0.8181818181818182,0.6436592029854724,0.66,"{0: 137, 1: 13, 2: 180, 3: 170}"
384,0,mean,16,top_p,0.6,,0,0.7619047619047619,0.6429228316090035,0.798,"{0: 168, 1: 39, 2: 192, 3: 101}"
384,0,mean,16,one_vs_rest,0.0,0.6,0,0.7619047619047619,0.6429228316090035,0.798,"{0: 168, 1: 39, 2: 192, 3: 101}"
384,0,mean,32,top_p,0.6,,0,0.7619047619047619,0.6429228316090035,0.798,"{0: 168, 1: 39, 2: 192, 3: 101}"
384,0,mean,32,one_vs_rest,0.0,0.6,0,0.7619047619047619,0.6429228316090035,0.798,"{0: 168, 1: 39, 2: 192, 3: 101}"
384,1,max,16,top_p,0.6,,0,0.7653061224489796,0.6422432343484975,0.784,"{0: 167, 1: 36, 2: 189, 3: 108}"
384,1,max,16,one_vs_rest,0.0,0.6,0,0.7653061224489796,0.6422432343484975,0.784,"{0: 167, 1: 36, 2: 189, 3: 108}"
384,1,max,32,top_p,0.6,,0,0.7653061224489796,0.6422432343484975,0.784,"{0: 167, 1: 36, 2: 189, 3: 108}"
384,1,max,32,one_vs_rest,0.0,0.6,0,0.7653061224489796,0.6422432343484975,0.784,"{0: 167, 1: 36, 2: 189, 3: 108}"
384,1,mean,16,top_p,0.6,,0,0.7626262626262627,0.6393304453564371,0.792,"{0: 168, 1: 38, 2: 190, 3: 104}"
384,1,mean,16,one_vs_rest,0.0,0.6,0,0.7626262626262627,0.6393304453564371,0.792,"{0: 168, 1: 38, 2: 190, 3: 104}"
384,1,mean,32,top_p,0.6,,0,0.7626262626262627,0.6393304453564371,0.792,"{0: 168, 1: 38, 2: 190, 3: 104}"
384,1,mean,32,one_vs_rest,0.0,0.6,0,0.7626262626262627,0.6393304453564371,0.792,"{0: 168, 1: 38, 2: 190, 3: 104}"
256,0,mean,16,top_p,0.6,,0,0.7593984962406015,0.6361419807640212,0.798,"{0: 169, 1: 37, 2: 193, 3: 101}"
256,0,mean,16,one_vs_rest,0.0,0.6,0,0.7593984962406015,0.6361419807640212,0.798,"{0: 169, 1: 37, 2: 193, 3: 101}"
256,0,mean,32,top_p,0.6,,0,0.7593984962406015,0.6361419807640212,0.798,"{0: 169, 1: 37, 2: 193, 3: 101}"
256,0,mean,32,one_vs_rest,0.0,0.6,0,0.7593984962406015,0.6361419807640212,0.798,"{0: 169, 1: 37, 2: 193, 3: 101}"
128,0,mean,16,top_p,0.6,,0,0.76,0.6309638575489521,0.8,"{0: 170, 1: 36, 2: 194, 3: 100}"
128,0,mean,16,one_vs_rest,0.0,0.6,0,0.76,0.6309638575489521,0.8,"{0: 170, 1: 36, 2: 194, 3: 100}"
128,0,mean,32,top_p,0.6,,0,0.76,0.6309638575489521,0.8,"{0: 170, 1: 36, 2: 194, 3: 100}"
128,0,mean,32,one_vs_rest,0.0,0.6,0,0.76,0.6309638575489521,0.8,"{0: 170, 1: 36, 2: 194, 3: 100}"
128,1,max,16,argmax,0.0,,0,0.724,0.6276389515557598,1.0,
128,1,max,16,top_p,0.0,,0,0.724,0.6276389515557598,1.0,
128,1,max,32,argmax,0.0,,0,0.724,0.6276389515557598,1.0,
128,1,max,32,top_p,0.0,,0,0.724,0.6276389515557598,1.0,
256,1,max,16,argmax,0.0,,0,0.71,0.625728820660143,1.0,
256,1,max,16,top_p,0.0,,0,0.71,0.625728820660143,1.0,
256,1,max,32,argmax,0.0,,0,0.71,0.625728820660143,1.0,
256,1,max,32,top_p,0.0,,0,0.71,0.625728820660143,1.0,
256,0,mean,16,argmax,0.0,,0,0.696,0.621617869105677,1.0,
256,0,mean,16,top_p,0.0,,0,0.696,0.621617869105677,1.0,
256,0,mean,32,argmax,0.0,,0,0.696,0.621617869105677,1.0,
256,0,mean,32,top_p,0.0,,0,0.696,0.621617869105677,1.0,
128,1,mean,16,argmax,0.0,,0,0.702,0.6212103356066252,1.0,
128,1,mean,16,top_p,0.0,,0,0.702,0.6212103356066252,1.0,
128,1,mean,32,argmax,0.0,,0,0.702,0.6212103356066252,1.0,
128,1,mean,32,top_p,0.0,,0,0.702,0.6212103356066252,1.0,
384,1,mean,16,argmax,0.0,,0,0.694,0.620306305799054,1.0,
384,1,mean,16,top_p,0.0,,0,0.694,0.620306305799054,1.0,
384,1,mean,32,argmax,0.0,,0,0.694,0.620306305799054,1.0,
384,1,mean,32,top_p,0.0,,0,0.694,0.620306305799054,1.0,
384,1,max,16,argmax,0.0,,0,0.696,0.6194178334561532,1.0,
384,1,max,16,top_p,0.0,,0,0.696,0.6194178334561532,1.0,
384,1,max,32,argmax,0.0,,0,0.696,0.6194178334561532,1.0,
384,1,max,32,top_p,0.0,,0,0.696,0.6194178334561532,1.0,
256,1,mean,16,argmax,0.0,,0,0.7,0.6177687143894904,1.0,
256,1,mean,16,top_p,0.0,,0,0.7,0.6177687143894904,1.0,
256,1,mean,32,argmax,0.0,,0,0.7,0.6177687143894904,1.0,
256,1,mean,32,top_p,0.0,,0,0.7,0.6177687143894904,1.0,
384,0,mean,16,argmax,0.0,,0,0.694,0.6174761421230544,1.0,
384,0,mean,16,top_p,0.0,,0,0.694,0.6174761421230544,1.0,
384,0,mean,32,argmax,0.0,,0,0.694,0.6174761421230544,1.0,
384,0,mean,32,top_p,0.0,,0,0.694,0.6174761421230544,1.0,
128,0,mean,16,argmax,0.0,,0,0.684,0.606851028380233,1.0,
128,0,mean,16,top_p,0.0,,0,0.684,0.606851028380233,1.0,
128,0,mean,32,argmax,0.0,,0,0.684,0.606851028380233,1.0,
128,0,mean,32,top_p,0.0,,0,0.684,0.606851028380233,1.0,
128,1,mean,16,top_p,0.7,,1,0.8269896193771626,0.5778505803144348,0.578,"{0: 132, 2: 157, 3: 211}"
128,1,mean,16,one_vs_rest,0.0,0.7,1,0.8269896193771626,0.5778505803144348,0.578,"{0: 132, 2: 157, 3: 211}"
128,1,mean,32,top_p,0.7,,1,0.8269896193771626,0.5778505803144348,0.578,"{0: 132, 2: 157, 3: 211}"
128,1,mean,32,one_vs_rest,0.0,0.7,1,0.8269896193771626,0.5778505803144348,0.578,"{0: 132, 2: 157, 3: 211}"
256,1,mean,16,top_p,0.7,,1,0.8238993710691824,0.5771908763505402,0.636,"{0: 136, 2: 182, 3: 182}"
256,1,mean,16,one_vs_rest,0.0,0.7,1,0.8238993710691824,0.5771908763505402,0.636,"{0: 136, 2: 182, 3: 182}"
256,1,mean,32,top_p,0.7,,1,0.8238993710691824,0.5771908763505402,0.636,"{0: 136, 2: 182, 3: 182}"
256,1,mean,32,one_vs_rest,0.0,0.7,1,0.8238993710691824,0.5771908763505402,0.636,"{0: 136, 2: 182, 3: 182}"
256,1,max,16,top_p,0.7,,1,0.821656050955414,0.5763561585092489,0.628,"{0: 136, 2: 178, 3: 186}"
256,1,max,16,one_vs_rest,0.0,0.7,1,0.821656050955414,0.5763561585092489,0.628,"{0: 136, 2: 178, 3: 186}"
256,1,max,32,top_p,0.7,,1,0.821656050955414,0.5763561585092489,0.628,"{0: 136, 2: 178, 3: 186}"
256,1,max,32,one_vs_rest,0.0,0.7,1,0.821656050955414,0.5763561585092489,0.628,"{0: 136, 2: 178, 3: 186}"
384,1,max,16,top_p,0.7,,1,0.8240740740740741,0.5762342406032755,0.648,"{0: 137, 2: 187, 3: 176}"
384,1,max,16,one_vs_rest,0.0,0.7,1,0.8240740740740741,0.5762342406032755,0.648,"{0: 137, 2: 187, 3: 176}"
384,1,max,32,top_p,0.7,,1,0.8240740740740741,0.5762342406032755,0.648,"{0: 137, 2: 187, 3: 176}"
384,1,max,32,one_vs_rest,0.0,0.7,1,0.8240740740740741,0.5762342406032755,0.648,"{0: 137, 2: 187, 3: 176}"
128,1,max,16,top_p,0.7,,1,0.8237410071942446,0.5757899512637756,0.556,"{0: 127, 2: 151, 3: 222}"
128,1,max,16,one_vs_rest,0.0,0.7,1,0.8237410071942446,0.5757899512637756,0.556,"{0: 127, 2: 151, 3: 222}"
128,1,max,32,top_p,0.7,,1,0.8237410071942446,0.5757899512637756,0.556,"{0: 127, 2: 151, 3: 222}"
128,1,max,32,one_vs_rest,0.0,0.7,1,0.8237410071942446,0.5757899512637756,0.556,"{0: 127, 2: 151, 3: 222}"
384,1,mean,16,top_p,0.7,,1,0.8220858895705522,0.5744986559286459,0.652,"{0: 138, 2: 188, 3: 174}"
384,1,mean,16,one_vs_rest,0.0,0.7,1,0.8220858895705522,0.5744986559286459,0.652,"{0: 138, 2: 188, 3: 174}"
384,1,mean,32,top_p,0.7,,1,0.8220858895705522,0.5744986559286459,0.652,"{0: 138, 2: 188, 3: 174}"
384,1,mean,32,one_vs_rest,0.0,0.7,1,0.8220858895705522,0.5744986559286459,0.652,"{0: 138, 2: 188, 3: 174}"
384,0,mean,16,top_p,0.7,,1,0.8212121212121212,0.5739639485468184,0.66,"{0: 139, 2: 191, 3: 170}"
384,0,mean,16,one_vs_rest,0.0,0.7,1,0.8212121212121212,0.5739639485468184,0.66,"{0: 139, 2: 191, 3: 170}"
384,0,mean,32,top_p,0.7,,1,0.8212121212121212,0.5739639485468184,0.66,"{0: 139, 2: 191, 3: 170}"
384,0,mean,32,one_vs_rest,0.0,0.7,1,0.8212121212121212,0.5739639485468184,0.66,"{0: 139, 2: 191, 3: 170}"
256,0,mean,16,top_p,0.7,,1,0.8157099697885196,0.5708181555980473,0.662,"{0: 138, 2: 193, 3: 169}"
256,0,mean,16,one_vs_rest,0.0,0.7,1,0.8157099697885196,0.5708181555980473,0.662,"{0: 138, 2: 193, 3: 169}"
256,0,mean,32,top_p,0.7,,1,0.8157099697885196,0.5708181555980473,0.662,"{0: 138, 2: 193, 3: 169}"
256,0,mean,32,one_vs_rest,0.0,0.7,1,0.8157099697885196,0.5708181555980473,0.662,"{0: 138, 2: 193, 3: 169}"
128,1,max,16,top_p,0.6,,1,0.8058823529411765,0.5673944544847686,0.68,"{0: 166, 2: 174, 3: 160}"
128,1,max,16,one_vs_rest,0.0,0.6,1,0.8058823529411765,0.5673944544847686,0.68,"{0: 166, 2: 174, 3: 160}"
128,1,max,32,top_p,0.6,,1,0.8058823529411765,0.5673944544847686,0.68,"{0: 166, 2: 174, 3: 160}"
128,1,max,32,one_vs_rest,0.0,0.6,1,0.8058823529411765,0.5673944544847686,0.68,"{0: 166, 2: 174, 3: 160}"
128,0,mean,16,top_p,0.7,,1,0.8059701492537313,0.5647002458026079,0.67,"{0: 141, 2: 194, 3: 165}"
128,0,mean,16,one_vs_rest,0.0,0.7,1,0.8059701492537313,0.5647002458026079,0.67,"{0: 141, 2: 194, 3: 165}"
128,0,mean,32,top_p,0.7,,1,0.8059701492537313,0.5647002458026079,0.67,"{0: 141, 2: 194, 3: 165}"
128,0,mean,32,one_vs_rest,0.0,0.7,1,0.8059701492537313,0.5647002458026079,0.67,"{0: 141, 2: 194, 3: 165}"
128,1,mean,16,top_p,0.6,,1,0.7988980716253443,0.5630204962243798,0.726,"{0: 175, 2: 188, 3: 137}"
128,1,mean,16,one_vs_rest,0.0,0.6,1,0.7988980716253443,0.5630204962243798,0.726,"{0: 175, 2: 188, 3: 137}"
128,1,mean,32,top_p,0.6,,1,0.7988980716253443,0.5630204962243798,0.726,"{0: 175, 2: 188, 3: 137}"
128,1,mean,32,one_vs_rest,0.0,0.6,1,0.7988980716253443,0.5630204962243798,0.726,"{0: 175, 2: 188, 3: 137}"
256,1,max,16,top_p,0.6,,1,0.7872340425531915,0.5570298294756499,0.752,"{0: 173, 2: 203, 3: 124}"
256,1,max,16,one_vs_rest,0.0,0.6,1,0.7872340425531915,0.5570298294756499,0.752,"{0: 173, 2: 203, 3: 124}"
256,1,max,32,top_p,0.6,,1,0.7872340425531915,0.5570298294756499,0.752,"{0: 173, 2: 203, 3: 124}"
256,1,max,32,one_vs_rest,0.0,0.6,1,0.7872340425531915,0.5570298294756499,0.752,"{0: 173, 2: 203, 3: 124}"
256,1,mean,16,top_p,0.6,,1,0.7859007832898173,0.5567453518624278,0.766,"{0: 175, 2: 208, 3: 117}"
256,1,mean,16,one_vs_rest,0.0,0.6,1,0.7859007832898173,0.5567453518624278,0.766,"{0: 175, 2: 208, 3: 117}"
256,1,mean,32,top_p,0.6,,1,0.7859007832898173,0.5567453518624278,0.766,"{0: 175, 2: 208, 3: 117}"
256,1,mean,32,one_vs_rest,0.0,0.6,1,0.7859007832898173,0.5567453518624278,0.766,"{0: 175, 2: 208, 3: 117}"
384,1,mean,16,top_p,0.6,,1,0.7777777777777778,0.5488130800909706,0.792,"{0: 181, 2: 215, 3: 104}"
384,1,mean,16,one_vs_rest,0.0,0.6,1,0.7777777777777778,0.5488130800909706,0.792,"{0: 181, 2: 215, 3: 104}"
384,1,mean,32,top_p,0.6,,1,0.7777777777777778,0.5488130800909706,0.792,"{0: 181, 2: 215, 3: 104}"
384,1,mean,32,one_vs_rest,0.0,0.6,1,0.7777777777777778,0.5488130800909706,0.792,"{0: 181, 2: 215, 3: 104}"
128,0,mean,16,top_p,0.6,,1,0.7775,0.5479938271604938,0.8,"{0: 180, 2: 220, 3: 100}"
128,0,mean,16,one_vs_rest,0.0,0.6,1,0.7775,0.5479938271604938,0.8,"{0: 180, 2: 220, 3: 100}"
128,0,mean,32,top_p,0.6,,1,0.7775,0.5479938271604938,0.8,"{0: 180, 2: 220, 3: 100}"
128,0,mean,32,one_vs_rest,0.0,0.6,1,0.7775,0.5479938271604938,0.8,"{0: 180, 2: 220, 3: 100}"
384,1,max,16,top_p,0.6,,1,0.7755102040816326,0.5476862691953451,0.784,"{0: 180, 2: 212, 3: 108}"
384,1,max,16,one_vs_rest,0.0,0.6,1,0.7755102040816326,0.5476862691953451,0.784,"{0: 180, 2: 212, 3: 108}"
384,1,max,32,top_p,0.6,,1,0.7755102040816326,0.5476862691953451,0.784,"{0: 180, 2: 212, 3: 108}"
384,1,max,32,one_vs_rest,0.0,0.6,1,0.7755102040816326,0.5476862691953451,0.784,"{0: 180, 2: 212, 3: 108}"
384,0,mean,16,top_p,0.6,,1,0.7719298245614035,0.5454633956386293,0.798,"{0: 183, 2: 216, 3: 101}"
384,0,mean,16,one_vs_rest,0.0,0.6,1,0.7719298245614035,0.5454633956386293,0.798,"{0: 183, 2: 216, 3: 101}"
384,0,mean,32,top_p,0.6,,1,0.7719298245614035,0.5454633956386293,0.798,"{0: 183, 2: 216, 3: 101}"
384,0,mean,32,one_vs_rest,0.0,0.6,1,0.7719298245614035,0.5454633956386293,0.798,"{0: 183, 2: 216, 3: 101}"
256,0,mean,16,top_p,0.6,,1,0.7719298245614035,0.544798951048951,0.798,"{0: 182, 2: 217, 3: 101}"
256,0,mean,16,one_vs_rest,0.0,0.6,1,0.7719298245614035,0.544798951048951,0.798,"{0: 182, 2: 217, 3: 101}"
256,0,mean,32,top_p,0.6,,1,0.7719298245614035,0.544798951048951,0.798,"{0: 182, 2: 217, 3: 101}"
256,0,mean,32,one_vs_rest,0.0,0.6,1,0.7719298245614035,0.544798951048951,0.798,"{0: 182, 2: 217, 3: 101}"
128,1,max,16,argmax,0.0,,1,0.746,0.5328029735547064,1.0,
128,1,max,16,top_p,0.0,,1,0.746,0.5328029735547064,1.0,
128,1,max,32,argmax,0.0,,1,0.746,0.5328029735547064,1.0,
